m,n,k,b,p,q,algo,lookahead,gflops
1024,1024,1024,256,4,4,p2p,0,0.875830
1024,1024,1024,256,4,4,p2p,0,0.848081
1024,1024,1024,256,4,4,p2p,0,0.898843
1024,1024,1024,256,4,4,p2p,0,0.850823
1024,1024,1024,256,4,4,p2p,0,0.830454
1024,1024,1024,256,4,4,bcast,0,0.205617
1024,1024,1024,256,4,4,bcast,0,0.223995
1024,1024,1024,256,4,4,bcast,0,0.223447
1024,1024,1024,256,4,4,bcast,0,0.213661
1024,1024,1024,256,4,4,bcast,0,0.213501
1024,1024,1024,256,4,4,p2p-i-la,1,1.096293
1024,1024,1024,256,4,4,p2p-i-la,1,0.983019
1024,1024,1024,256,4,4,p2p-i-la,1,1.042314
1024,1024,1024,256,4,4,p2p-i-la,1,1.031209
1024,1024,1024,256,4,4,p2p-i-la,1,1.005376
1024,1024,1024,256,4,4,p2p-i-la,2,0.966797
1024,1024,1024,256,4,4,p2p-i-la,2,0.897424
1024,1024,1024,256,4,4,p2p-i-la,2,0.895752
1024,1024,1024,256,4,4,p2p-i-la,2,0.875934
1024,1024,1024,256,4,4,p2p-i-la,2,0.866778
1024,1024,1024,256,4,4,p2p-i-la,3,1.040441
1024,1024,1024,256,4,4,p2p-i-la,3,0.954310
1024,1024,1024,256,4,4,p2p-i-la,3,0.947866
1024,1024,1024,256,4,4,p2p-i-la,3,0.895840
1024,1024,1024,256,4,4,p2p-i-la,3,0.891721
1024,1024,1024,256,4,4,p2p-i-la,4,1.037139
1024,1024,1024,256,4,4,p2p-i-la,4,0.942511
1024,1024,1024,256,4,4,p2p-i-la,4,0.945008
1024,1024,1024,256,4,4,p2p-i-la,4,0.925860
1024,1024,1024,256,4,4,p2p-i-la,4,0.894794
2048,2048,2048,256,4,4,p2p,0,1.692159
2048,2048,2048,256,4,4,p2p,0,1.675377
2048,2048,2048,256,4,4,p2p,0,1.682358
2048,2048,2048,256,4,4,p2p,0,1.677247
2048,2048,2048,256,4,4,p2p,0,1.654922
